leadership_score,communication_score,decision_making_score,team_management_score,strategic_thinking_score,problem_solving_score,adaptability_score,technical_knowledge_score,performance_score,experience_years,readiness_level
96.18,93.24,93.1,92.5,94.31,91.63,85.64,90.92,84.5,6.1,High
82.58,88.51,87.68,80.06,79.36,83.61,77.34,86.28,83.25,8.2,High
68.65,78.27,74.93,72.07,74.82,66.69,69.08,73.52,74.69,7.1,Medium
67.11,68.81,65.84,67.44,63.98,69.86,65.92,71.71,77.33,4.4,Medium
77.56,79.6,79.19,81.55,80.93,78.11,87.87,78.16,91.21,7.3,High
89.2,91.64,92.42,86.59,89.74,89.81,87.77,91.28,97.93,13.5,High
49.93,50.25,52.64,57.1,49.01,46.15,47.37,56.32,60.75,3.2,Low
93.73,88.63,92.44,90.22,93.2,95.04,88.94,87.8,92.39,6.7,High
84.59,83.88,87.2,77.87,78.96,79.75,80.82,80.51,94.92,8.4,High
66.05,68.74,73.28,66.66,63.9,61.97,70.43,69.64,75.56,8.2,Medium
58.45,68.23,64.26,58.0,62.45,66.86,58.68,60.83,70.84,3.6,Low
78.01,82.11,76.17,84.66,74.94,82.56,84.92,78.5,73.26,4.5,Medium
59.15,55.89,49.64,54.69,55.09,55.14,54.28,53.8,51.81,3.2,Low
85.55,84.64,83.37,83.89,80.25,90.03,90.42,84.38,90.63,13.0,High
90.71,95.76,94.11,93.37,90.68,95.08,95.54,97.32,97.15,9.8,High
90.42,92.33,90.14,96.44,98.19,96.96,95.48,90.68,88.24,8.8,High
47.8,51.97,51.74,47.59,51.8,46.58,44.56,44.92,66.34,1.9,Low
84.57,78.63,77.65,81.76,79.94,79.58,85.43,87.82,86.31,12.2,High
42.93,51.56,43.11,47.9,44.56,52.35,52.06,52.2,66.09,5.8,Low
49.08,40.63,45.75,49.48,46.48,52.01,45.9,48.4,64.28,3.2,Low
91.58,88.36,92.99,87.71,95.98,95.69,87.94,86.68,82.67,14.4,High
86.48,77.12,77.52,86.41,82.72,84.17,81.47,78.09,86.42,6.2,Medium
92.64,85.85,92.87,93.55,94.63,86.65,87.93,96.92,96.89,15.0,High
62.41,58.44,55.75,64.92,59.96,59.39,57.67,62.5,55.97,2.0,Low
90.23,91.23,86.91,81.08,82.12,83.81,83.42,84.66,93.72,7.8,High
74.24,73.27,66.83,72.61,71.86,70.43,68.61,70.25,71.15,3.1,Medium
70.2,75.15,69.67,78.9,70.43,79.36,71.3,74.7,73.48,6.8,Medium
81.98,76.63,77.96,80.83,74.41,84.72,76.07,79.46,79.18,6.2,Medium
99.68,93.41,92.85,96.92,98.3,91.61,88.91,89.26,82.97,10.6,High
64.39,60.29,64.33,61.0,65.52,60.16,67.01,63.0,47.43,4.6,Low
74.11,65.52,65.68,68.34,67.57,65.42,75.5,68.83,75.8,7.0,Medium
100.0,97.01,100.0,99.15,98.6,94.41,100.0,100.0,87.19,8.7,High
56.98,52.34,51.4,57.11,48.81,48.79,47.85,55.46,54.93,4.6,Low
57.92,62.35,53.1,51.7,55.51,52.9,55.65,58.23,51.9,3.8,Low
45.11,44.98,45.81,38.37,46.21,44.57,43.21,47.19,54.99,5.6,Low
87.83,96.41,91.33,96.96,92.15,97.57,97.59,89.87,91.22,5.8,High
59.9,56.73,62.72,58.04,62.27,58.89,56.85,65.02,81.22,5.3,Medium
71.98,73.23,70.08,69.49,75.36,69.09,73.29,69.52,76.58,4.3,Medium
43.11,45.09,39.61,44.65,46.09,40.21,38.12,46.58,48.37,3.8,Low
40.42,40.09,43.37,36.53,39.9,48.09,43.63,48.12,61.79,3.1,Low
79.29,83.9,85.04,76.16,75.46,86.2,85.93,85.23,95.09,7.0,High
86.76,89.0,92.94,88.93,92.77,89.59,92.28,95.25,83.78,9.5,High
56.91,58.43,59.79,65.86,63.8,57.02,64.24,56.49,77.91,7.0,Medium
89.57,99.75,97.13,92.11,93.91,100.0,90.53,93.12,92.56,13.6,High
71.03,60.17,62.88,66.27,63.92,64.64,61.8,64.08,76.51,5.7,Medium
70.7,68.47,71.5,71.65,70.74,61.31,67.62,64.32,84.63,6.0,Medium
61.95,57.77,57.93,53.15,53.31,52.26,62.07,61.34,47.19,2.9,Low
69.94,70.69,64.05,68.8,66.63,61.96,72.29,72.05,70.36,6.2,Medium
68.31,58.35,60.74,67.48,65.65,66.11,67.49,61.9,52.94,3.8,Low
78.89,84.96,76.89,77.83,84.76,82.95,78.81,82.41,83.2,8.6,High
92.09,92.4,93.63,94.92,90.86,96.6,92.27,88.02,87.75,11.9,High
92.72,96.67,99.62,96.86,88.56,98.89,99.59,98.17,82.24,7.7,High
82.74,91.06,86.8,85.99,89.57,91.15,89.36,88.54,85.95,9.0,High
47.53,58.97,53.24,51.76,55.84,53.71,53.21,54.58,56.29,5.1,Low
86.7,86.23,88.52,81.82,87.37,82.87,91.12,86.59,86.87,13.3,High
89.64,92.98,93.43,90.16,95.1,96.57,90.44,93.47,97.01,12.0,High
76.53,76.42,80.44,79.41,81.34,79.66,84.54,81.19,81.54,7.3,High
70.78,71.91,65.79,74.42,66.14,72.54,69.03,67.71,81.06,8.5,Medium
71.59,76.63,72.19,74.66,79.42,75.68,69.22,79.75,70.0,3.8,Medium
73.19,68.93,72.56,73.43,72.68,75.89,66.58,67.77,74.97,3.5,Medium
92.95,100.0,89.96,94.37,91.51,97.43,96.7,97.67,92.67,13.4,High
49.61,39.55,42.03,42.86,42.98,39.25,43.56,45.04,56.38,3.9,Low
92.8,94.85,93.85,87.81,95.26,94.05,98.35,92.31,86.39,10.3,High
62.45,64.96,70.6,62.9,60.21,65.41,64.89,66.24,52.18,4.0,Low
84.99,85.26,92.47,86.38,95.15,94.56,96.96,89.94,93.34,14.8,High
72.77,78.87,73.08,75.47,73.27,69.46,77.62,73.48,68.19,4.2,Medium
60.67,64.68,67.61,66.18,64.36,62.39,64.14,67.32,70.99,5.0,Medium
98.13,91.7,96.81,91.9,94.54,90.61,96.34,97.71,88.62,12.4,High
88.17,83.88,86.47,83.21,81.04,83.5,86.74,85.38,72.77,3.2,Medium
77.42,79.99,85.98,77.16,78.2,75.92,83.99,83.9,88.62,10.0,High
58.81,67.61,65.31,62.81,65.83,58.24,66.99,66.39,76.21,6.0,Medium
67.35,65.06,58.84,69.98,67.03,65.92,59.83,64.39,80.32,5.8,Medium
73.58,80.54,73.69,72.15,73.16,73.67,75.13,71.25,73.31,6.5,Medium
76.75,78.48,78.1,75.97,82.73,77.67,77.21,75.13,91.97,10.1,High
90.09,83.26,82.63,87.1,84.13,89.14,89.1,92.02,84.08,9.7,High
70.61,68.96,74.25,71.63,68.15,64.14,72.32,73.6,81.9,7.3,Medium
73.15,73.06,80.71,77.78,81.33,75.08,78.77,78.36,80.07,5.8,Medium
49.55,50.87,47.38,54.55,52.59,46.86,46.57,55.14,45.76,3.4,Low
90.5,90.65,93.14,92.27,97.38,90.3,89.78,95.46,94.68,10.3,High
